date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:42	22458/22458	---M-Z	200	added ('OK')	text/css	etag:W/%2261c846e9-57ba%22	https://prium.github.io/elixir/v3.0.0/vendors/hamburgers/hamburgers.min.css	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/vendors/hamburgers/hamburgers.min.css	(from https://prium.github.io/elixir/v3.0.0/)
13:48:42	41406/41406	---M-Z	200	added ('OK')	text/css	etag:W/%2261c846e9-a1be%22	https://prium.github.io/elixir/v3.0.0/vendors/loaders.css/loaders.min.css	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/vendors/loaders.css/loaders.min.css	(from https://prium.github.io/elixir/v3.0.0/)
13:48:42	322300/322300	---M-Z	200	added ('OK')	text/css	etag:W/%2261c846e9-4eafc%22	https://prium.github.io/elixir/v3.0.0/assets/css/theme.min.css	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/css/theme.min.css	(from https://prium.github.io/elixir/v3.0.0/)
13:48:43	0/0	---M--	200	added ('OK')	text/css	etag:%2261c846e9-0%22	https://prium.github.io/elixir/v3.0.0/assets/css/user.min.css	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/css/user.min.css	(from https://prium.github.io/elixir/v3.0.0/)
13:48:43	57991/57991	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-e287%22	https://prium.github.io/elixir/v3.0.0/index.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/index-2.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:43	677/677	---M--	200	added ('OK')	image/png	etag:%2261c846e9-2a5%22	https://prium.github.io/elixir/v3.0.0/assets/img/logo-dark.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/logo-dark.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:44	58365/58365	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-e3fd%22	https://prium.github.io/elixir/v3.0.0/homes/header-slider-classic.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/homes/header-slider-classic.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:44	55387/55387	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-d85b%22	https://prium.github.io/elixir/v3.0.0/homes/header-static.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/homes/header-static.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:44	55377/55377	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-d851%22	https://prium.github.io/elixir/v3.0.0/homes/header-static-classic.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/homes/header-static-classic.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:44	55545/55545	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-d8f9%22	https://prium.github.io/elixir/v3.0.0/homes/header-youtube-video.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/homes/header-youtube-video.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:45	55534/55534	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-d8ee%22	https://prium.github.io/elixir/v3.0.0/homes/header-youtube-video-classic.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/homes/header-youtube-video-classic.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:45	55692/55692	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-d98c%22	https://prium.github.io/elixir/v3.0.0/homes/header-selfhosted-video.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/homes/header-selfhosted-video.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:45	55681/55681	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-d981%22	https://prium.github.io/elixir/v3.0.0/homes/header-selfhosted-video-classic.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/homes/header-selfhosted-video-classic.html	(from https://prium.github.io/elixir/v3.0.0/)
